dong_code,dong_name,gu_code
11010530,사직동,11010
11010540,삼청동,11010
11010550,부암동,11010
11010560,평창동,11010
11010570,무악동,11010
11010580,교남동,11010
11010600,가회동,11010
11010610,종로1·2·3·4가동,11010
11010630,종로5·6가동,11010
11010640,이화동,11010
11010670,창신1동,11010
11010680,창신2동,11010
11010690,창신3동,11010
11010700,숭인1동,11010
11010710,숭인2동,11010
11010720,청운효자동,11010
11010730,혜화동,11010
11020520,소공동,11020
11020540,회현동,11020
11020550,명동,11020
11020570,필동,11020
11020580,장충동,11020
11020590,광희동,11020
11020600,을지로동,11020
11020650,신당5동,11020
11020670,황학동,11020
11020680,중림동,11020
11020690,신당동,11020
11020700,다산동,11020
11020710,약수동,11020
11020720,청구동,11020
11020730,동화동,11020
11030510,후암동,11030
11030520,용산2가동,11030
11030530,남영동,11030
11030570,원효로2동,11030
11030580,효창동,11030
11030590,용문동,11030
11030630,이촌1동,11030
11030640,이촌2동,11030
11030650,이태원1동,11030
11030660,이태원2동,11030
11030690,서빙고동,11030
11030700,보광동,11030
11030710,청파동,11030
11030720,원효로1동,11030
11030730,한강로동,11030
11030740,한남동,11030
11040520,왕십리2동,11040
11040540,마장동,11040
11040550,사근동,11040
11040560,행당1동,11040
11040570,행당2동,11040
11040580,응봉동,11040
11040590,금호1가동,11040
11040620,금호4가동,11040
11040650,성수1가1동,11040
11040660,성수1가2동,11040
11040670,성수2가1동,11040
11040680,성수2가3동,11040
11040690,송정동,11040
11040700,용답동,11040
11040710,왕십리도선동,11040
11040720,금호2·3가동,11040
11040730,옥수동,11040
11050530,화양동,11050
11050540,군자동,11050
11050550,중곡1동,11050
11050560,중곡2동,11050
11050570,중곡3동,11050
11050580,중곡4동,11050
11050590,능동,11050
11050600,구의1동,11050
11050610,구의2동,11050
11050620,구의3동,11050
11050630,광장동,11050
11050640,자양1동,11050
11050650,자양2동,11050
11050660,자양3동,11050
11050670,자양4동,11050
11060710,회기동,11060
11060720,휘경1동,11060
11060730,휘경2동,11060
11060800,청량리동,11060
11060810,용신동,11060
11060820,제기동,11060
11060830,전농1동,11060
11060840,전농2동,11060
11060860,답십리2동,11060
11060870,장안1동,11060
11060880,장안2동,11060
11060890,이문1동,11060
11060900,이문2동,11060
11060910,답십리1동,11060
11070520,면목2동,11070
11070540,면목4동,11070
11070550,면목5동,11070
11070570,면목7동,11070
11070590,상봉1동,11070
11070600,상봉2동,11070
11070610,중화1동,11070
11070620,중화2동,11070
11070640,묵1동,11070
11070650,묵2동,11070
11070680,망우3동,11070
11070690,신내1동,11070
11070700,신내2동,11070
11070710,면목본동,11070
11070720,면목3·8동,11070
11070730,망우본동,11070
11080580,돈암1동,11080
11080590,돈암2동,11080
11080600,안암동,11080
11080610,보문동,11080
11080620,정릉1동,11080
11080630,정릉2동,11080
11080640,정릉3동,11080
11080650,정릉4동,11080
11080660,길음1동,11080
11080680,길음2동,11080
11080710,월곡1동,11080
11080720,월곡2동,11080
11080760,장위1동,11080
11080770,장위2동,11080
11080780,장위3동,11080
11080810,성북동,11080
11080820,삼선동,11080
11080830,동선동,11080
11080840,종암동,11080
11080850,석관동,11080
11090600,번1동,11090
11090610,번2동,11090
11090620,번3동,11090
11090630,수유1동,11090
11090640,수유2동,11090
11090650,수유3동,11090
11090690,삼양동,11090
11090700,미아동,11090
11090710,송중동,11090
11090720,송천동,11090
11090730,삼각산동,11090
11090740,우이동,11090
11090750,인수동,11090
11100510,쌍문1동,11100
11100520,쌍문2동,11100
11100530,쌍문3동,11100
11100540,쌍문4동,11100
11100550,방학1동,11100
11100560,방학2동,11100
11100570,방학3동,11100
11100590,창1동,11100
11100600,창2동,11100
11100610,창3동,11100
11100620,창4동,11100
11100630,창5동,11100
11100640,도봉1동,11100
11100650,도봉2동,11100
11110510,월계1동,11110
11110520,월계2동,11110
11110530,월계3동,11110
11110560,공릉2동,11110
11110580,하계1동,11110
11110590,하계2동,11110
11110600,중계본동,11110
11110610,중계1동,11110
11110640,중계4동,11110
11110650,상계1동,11110
11110660,상계2동,11110
11110690,상계5동,11110
11110720,상계8동,11110
11110730,상계9동,11110
11110740,상계10동,11110
11110760,상계3·4동,11110
11110770,상계6·7동,11110
11110780,중계2·3동,11110
11110790,공릉1동,11110
11120510,녹번동,11120
11120520,불광1동,11120
11120550,갈현1동,11120
11120560,갈현2동,11120
11120570,구산동,11120
11120580,대조동,11120
11120590,응암1동,11120
11120600,응암2동,11120
11120650,신사1동,11120
11120660,신사2동,11120
11120670,증산동,11120
11120680,수색동,11120
11120710,진관동,11120
11120720,불광2동,11120
11120730,응암3동,11120
11120740,역촌동,11120
11130520,천연동,11130
11130620,홍제1동,11130
11130640,홍제3동,11130
11130650,홍제2동,11130
11130660,홍은1동,11130
11130680,홍은2동,11130
11130690,남가좌1동,11130
11130700,남가좌2동,11130
11130710,북가좌1동,11130
11130720,북가좌2동,11130
11130730,충현동,11130
11130740,북아현동,11130
11130750,신촌동,11130
11130760,연희동,11130
11140590,용강동,11140
11140600,대흥동,11140
11140610,염리동,11140
11140630,신수동,11140
11140660,서교동,11140
11140680,합정동,11140
11140690,망원1동,11140
11140700,망원2동,11140
11140710,연남동,11140
11140720,성산1동,11140
11140730,성산2동,11140
11140740,상암동,11140
11140750,도화동,11140
11140760,서강동,11140
11140770,공덕동,11140
11140780,아현동,11140
11150510,목1동,11150
11150520,목2동,11150
11150530,목3동,11150
11150540,목4동,11150
11150570,신월1동,11150
11150580,신월2동,11150
11150590,신월3동,11150
11150600,신월4동,11150
11150610,신월5동,11150
11150620,신월6동,11150
11150630,신월7동,11150
11150640,신정1동,11150
11150650,신정2동,11150
11150660,신정3동,11150
11150690,신정6동,11150
11150700,신정7동,11150
11150710,목5동,11150
11150720,신정4동,11150
11160510,염창동,11160
11160520,등촌1동,11160
11160530,등촌2동,11160
11160540,등촌3동,11160
11160550,화곡본동,11160
11160570,화곡2동,11160
11160580,화곡3동,11160
11160590,화곡4동,11160
11160610,화곡6동,11160
11160630,화곡8동,11160
11160640,가양1동,11160
11160650,가양2동,11160
11160660,가양3동,11160
11160670,발산1동,11160
11160690,공항동,11160
11160700,방화1동,11160
11160710,방화2동,11160
11160720,방화3동,11160
11160730,화곡1동,11160
11160740,우장산동,11160
11170510,신도림동,11170
11170520,구로1동,11170
11170540,구로3동,11170
11170550,구로4동,11170
11170560,구로5동,11170
11170610,고척1동,11170
11170620,고척2동,11170
11170640,개봉2동,11170
11170650,개봉3동,11170
11170670,오류1동,11170
11170690,수궁동,11170
11170700,가리봉동,11170
11170710,구로2동,11170
11170720,개봉1동,11170
11170730,오류2동,11170
11170740,항동,11170
11180510,가산동,11180
11180520,독산1동,11180
11180530,독산2동,11180
11180540,독산3동,11180
11180550,독산4동,11180
11180570,시흥1동,11180
11180580,시흥2동,11180
11180590,시흥3동,11180
11180600,시흥4동,11180
11180610,시흥5동,11180
11190540,여의동,11190
11190550,당산1동,11190
11190560,당산2동,11190
11190610,양평1동,11190
11190620,양평2동,11190
11190630,신길1동,11190
11190650,신길3동,11190
11190660,신길4동,11190
11190670,신길5동,11190
11190680,신길6동,11190
11190690,신길7동,11190
11190700,대림1동,11190
11190710,대림2동,11190
11190720,대림3동,11190
11190730,영등포본동,11190
11190740,영등포동,11190
11190750,도림동,11190
11190760,문래동,11190
11200520,노량진2동,11200
11200530,상도1동,11200
11200540,상도2동,11200
11200550,상도3동,11200
11200560,상도4동,11200
11200630,사당1동,11200
11200650,사당3동,11200
11200660,사당4동,11200
11200670,사당5동,11200
11200680,대방동,11200
11200690,신대방1동,11200
11200700,신대방2동,11200
11200710,흑석동,11200
11200720,노량진1동,11200
11200730,사당2동,11200
11210520,보라매동,11210
11210540,청림동,11210
11210570,행운동,11210
11210580,낙성대동,11210
11210610,중앙동,11210
11210620,인헌동,11210
11210630,남현동,11210
11210640,서원동,11210
11210650,신원동,11210
11210660,서림동,11210
11210680,신사동,11210
11210690,신림동,11210
11210710,난향동,11210
11210720,조원동,11210
11210730,대학동,11210
11210780,은천동,11210
11210790,성현동,11210
11210800,청룡동,11210
11210810,난곡동,11210
11210820,삼성동,11210
11210830,미성동,11210
11220510,서초1동,11220
11220520,서초2동,11220
11220530,서초3동,11220
11220540,서초4동,11220
11220550,잠원동,11220
11220560,반포본동,11220
11220570,반포1동,11220
11220580,반포2동,11220
11220590,반포3동,11220
11220600,반포4동,11220
11220610,방배본동,11220
11220620,방배1동,11220
11220630,방배2동,11220
11220640,방배3동,11220
11220650,방배4동,11220
11220660,양재1동,11220
11220670,양재2동,11220
11220680,내곡동,11220
11230510,신사동,11230
11230511,개포3동,11230
11230520,논현1동,11230
11230530,논현2동,11230
11230580,삼성1동,11230
11230590,삼성2동,11230
11230600,대치1동,11230
11230630,대치4동,11230
11230640,역삼1동,11230
11230650,역삼2동,11230
11230660,도곡1동,11230
11230670,도곡2동,11230
11230680,개포1동,11230
11230710,개포4동,11230
11230720,일원본동,11230
11230730,일원1동,11230
11230750,수서동,11230
11230760,세곡동,11230
11230770,압구정동,11230
11230780,청담동,11230
11230790,대치2동,11230
11230800,개포2동,11230
11240510,풍납1동,11240
11240520,풍납2동,11240
11240530,거여1동,11240
11240540,거여2동,11240
11240550,마천1동,11240
11240560,마천2동,11240
11240570,방이1동,11240
11240580,방이2동,11240
11240590,오륜동,11240
11240600,오금동,11240
11240610,송파1동,11240
11240620,송파2동,11240
11240630,석촌동,11240
11240640,삼전동,11240
11240650,가락본동,11240
11240660,가락1동,11240
11240670,가락2동,11240
11240680,문정1동,11240
11240690,문정2동,11240
11240710,잠실본동,11240
11240750,잠실4동,11240
11240770,잠실6동,11240
11240780,잠실7동,11240
11240790,잠실2동,11240
11240800,잠실3동,11240
11240810,장지동,11240
11240820,위례동,11240
11250530,명일1동,11250
11250540,명일2동,11250
11250550,고덕1동,11250
11250560,고덕2동,11250
11250580,암사2동,11250
11250590,암사3동,11250
11250610,천호1동,11250
11250630,천호3동,11250
11250650,성내1동,11250
11250660,성내2동,11250
11250670,성내3동,11250
11250700,둔촌1동,11250
11250710,둔촌2동,11250
11250720,암사1동,11250
11250730,천호2동,11250
11250740,길동,11250
11250750,강일동,11250
11250760,상일1동,11250
11250770,상일2동,11250
